n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
16384,28,none,detect-only,17,61992500 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,18,64719791 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,19,61745459 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,20,65985417 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,21,61742249 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,22,61580917 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,23,64215541 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,24,61716501 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,25,61887915 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,26,62135958 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,27,62003916 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,28,61747875 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,29,61950999 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,none,detect-only,30,61876541 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,1,67204666 ns,65294711,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,2,67035001 ns,65107289,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,3,67873835 ns,65951080,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,4,98635292 ns,96343790,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,5,67316086 ns,65387663,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,6,67293415 ns,65324291,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,7,67220083 ns,65266878,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,8,67137540 ns,65228334,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,9,67184208 ns,65268666,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,10,67266082 ns,65320251,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,11,67244376 ns,65284627,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,12,67256624 ns,65323204,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,13,67338208 ns,65400709,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,14,67168792 ns,65254506,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,15,68492750 ns,66542501,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,16,67113042 ns,65209253,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,17,67033749 ns,65118706,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,18,67233375 ns,65397287,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,19,67165791 ns,65232674,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,20,66999791 ns,65087494,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,21,67153669 ns,65205542,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,22,67152042 ns,65229747,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,23,67241750 ns,65333335,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,24,67165417 ns,65250842,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,25,67390251 ns,65465539,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,26,67227957 ns,65319874,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,27,67230000 ns,65277712,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,28,67078875 ns,65172045,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,29,67298668 ns,65349461,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,detect-only,30,67272042 ns,65361449,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,1,67161793 ns,65239915,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,2,67250001 ns,65301084,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,3,67250376 ns,65329126,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,4,67204834 ns,65294914,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,5,67279249 ns,65334046,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,6,67251167 ns,65333332,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,7,67232582 ns,65331587,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,8,67236001 ns,65286664,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,9,67343125 ns,65424916,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,10,67350166 ns,65412254,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,11,67233707 ns,65290833,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,12,67361251 ns,65447461,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,13,67350000 ns,65401710,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,14,70353875 ns,68497206,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,15,67114627 ns,65185582,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,16,67293584 ns,65352083,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,17,67153082 ns,65227381,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,18,67220125 ns,65299247,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,19,67215126 ns,65260664,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,20,67239249 ns,65294868,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,21,67247624 ns,65297674,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,22,70780710 ns,68786004,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,23,67269709 ns,65284789,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,24,67231540 ns,65315001,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,25,67264833 ns,65355288,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,26,67145832 ns,65223453,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,27,67130040 ns,65205545,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,28,67308876 ns,65379209,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,29,67231501 ns,65291623,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,butterfly-check,recompute,30,67176417 ns,65247876,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,1,70803043 ns,68878208,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,2,70763042 ns,68840791,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,3,71015542 ns,69071585,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,4,70647958 ns,68706248,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,5,71535793 ns,69583791,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,6,70763625 ns,68843585,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,7,70579126 ns,68763371,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,8,70581209 ns,68650330,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,9,70592708 ns,68648457,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,10,70513126 ns,68581539,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,11,70584749 ns,68648208,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,12,70923208 ns,69026292,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,13,70520584 ns,68572663,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,14,70894626 ns,68918329,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,15,70543917 ns,68541589,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,16,70507999 ns,68588710,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,17,71327665 ns,69292334,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,18,71162584 ns,69215168,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,19,70856458 ns,68945619,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,20,70821374 ns,68891627,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,21,70635458 ns,68718377,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,22,70693833 ns,68740961,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,23,70549250 ns,68623620,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,24,70729250 ns,68778418,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,25,70525667 ns,68586253,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,26,70740209 ns,68809165,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,27,70634582 ns,68707376,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,28,72967374 ns,70954163,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,29,70677374 ns,68720414,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,detect-only,30,70872583 ns,68945915,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,1,70584960 ns,68662207,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,2,70563709 ns,68619083,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,3,70541542 ns,68593998,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,4,70635625 ns,68695713,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,5,70784335 ns,68858419,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,6,70904792 ns,68992586,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,7,70763542 ns,68841745,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,8,70742792 ns,68790829,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,9,70729666 ns,68753128,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,10,70747918 ns,68822667,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,11,70693542 ns,68728624,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,12,70372499 ns,68450913,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,13,71233043 ns,69272664,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,14,70547625 ns,68623502,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,15,70614917 ns,68690460,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,16,70684417 ns,68731419,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,17,70546417 ns,68625254,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,18,70755748 ns,68828757,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,19,70782250 ns,68861879,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,20,70825292 ns,68901828,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,21,70820832 ns,68887666,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,22,70631750 ns,68679201,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,23,70795375 ns,68881003,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,24,70797083 ns,68868248,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,25,71092833 ns,69162211,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,26,70772877 ns,68827544,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,27,70460959 ns,68516166,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,28,71815792 ns,69902499,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,29,70738708 ns,68819584,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,28,stage-checksum,recompute,30,70608876 ns,68696164,84,0,84,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,1,70279375 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,2,70274874 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,3,69944749 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,4,70844750 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,5,70756541 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,6,69979999 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,7,70437543 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,8,70116166 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,9,71821083 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,10,70084542 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,11,70010207 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,12,70294291 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,13,70484292 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,14,70597625 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,15,70923791 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,16,70331625 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,17,70466291 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,18,70523792 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,19,70481959 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,20,70576290 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,21,70059374 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,22,70869249 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,23,70568666 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,24,70499834 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,25,70377749 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,26,70437916 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,27,70574251 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,28,70435792 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,29,70280999 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,none,detect-only,30,70454707 ns,0,0,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,1,76983415 ns,75010744,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,2,77188334 ns,75210087,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,3,76958666 ns,75014333,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,4,76983999 ns,75008285,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,5,77091874 ns,75117830,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,6,76967041 ns,74999830,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,7,76757374 ns,74785412,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,8,77080876 ns,75127248,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,9,76863374 ns,74910373,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
16384,54,butterfly-check,detect-only,10,76671168 ns,74710376,688128,0,0,0,0,688128,688128,1409024,1507328,1507328
